"","iteration","b0","b1","b2_0","b2_1","b3","std_a","std_v","std_p","pixel","grid","property","county","pixel.fe","grid.fe","property.fe","county.fe","treatment.fe","se_pixel","se_grid","se_property","se_county","bias","cover","notes","paramterization"
"59","59",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00908238524195122","0","keeping pixels after deforestation event",1
"60","60",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0032122979992777","1","keeping pixels after deforestation event",1
"61","61",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00928289304517533","0","keeping pixels after deforestation event",1
"62","62",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00664453633799962","0","keeping pixels after deforestation event",1
"63","63",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00340282959084882","1","keeping pixels after deforestation event",1
"64","64",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00130824667377645","1","keeping pixels after deforestation event",1
"65","65",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00751499593223482","0","keeping pixels after deforestation event",1
"66","66",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0115619656228176","0","keeping pixels after deforestation event",1
"67","67",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.006435316913332","0","keeping pixels after deforestation event",1
"68","68",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00709346586238725","0","keeping pixels after deforestation event",1
"69","69",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.011335322955263","0","keeping pixels after deforestation event",1
"70","70",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0117672507668334","0","keeping pixels after deforestation event",1
"71","71",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00461781976217269","1","keeping pixels after deforestation event",1
"72","72",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00528383727253174","1","keeping pixels after deforestation event",1
"73","73",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0122593168683687","0","keeping pixels after deforestation event",1
"74","74",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00999851059375318","0","keeping pixels after deforestation event",1
"75","75",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0129170442873541","0","keeping pixels after deforestation event",1
"76","76",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00452213243631734","1","keeping pixels after deforestation event",1
"77","77",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00765817564595967","0","keeping pixels after deforestation event",1
"78","78",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00261850264088582","1","keeping pixels after deforestation event",1
"79","79",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00548743629626814","1","keeping pixels after deforestation event",1
"80","80",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00809923660904356","0","keeping pixels after deforestation event",1
"81","81",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00772730657741473","0","keeping pixels after deforestation event",1
"82","82",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00791699510884609","0","keeping pixels after deforestation event",1
"83","83",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00311661067342235","1","keeping pixels after deforestation event",1
"84","84",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00430504445034586","1","keeping pixels after deforestation event",1
"85","85",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0102068869582811","0","keeping pixels after deforestation event",1
"86","86",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0141920322386197","0","keeping pixels after deforestation event",1
"87","87",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00910936316642142","0","keeping pixels after deforestation event",1
"88","88",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00461388548152082","1","keeping pixels after deforestation event",1
"89","89",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00904149682517598","0","keeping pixels after deforestation event",1
"90","90",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00829805829198822","0","keeping pixels after deforestation event",1
"91","91",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00171670931145869","1","keeping pixels after deforestation event",1
"92","92",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00466306398966971","1","keeping pixels after deforestation event",1
"93","93",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0115897866074276","0","keeping pixels after deforestation event",1
"94","94",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00289994421752067","1","keeping pixels after deforestation event",1
"95","95",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00435464448856455","1","keeping pixels after deforestation event",1
"96","96",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00647227104945531","0","keeping pixels after deforestation event",1
"97","97",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00451735509552571","1","keeping pixels after deforestation event",1
"98","98",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00857387946769185","0","keeping pixels after deforestation event",1
"99","99",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00925465053049558","0","keeping pixels after deforestation event",1
"100","100",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00560616726594189","1","keeping pixels after deforestation event",1
"101","101",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00620431843505554","1","keeping pixels after deforestation event",1
"102","102",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00251536828379651","1","keeping pixels after deforestation event",1
"103","103",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00683900221022261","0","keeping pixels after deforestation event",1
"104","104",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00450428766336043","1","keeping pixels after deforestation event",1
"105","105",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00716526648428463","0","keeping pixels after deforestation event",1
"106","106",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00575103309994613","1","keeping pixels after deforestation event",1
"107","107",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00578236683513817","1","keeping pixels after deforestation event",1
"108","108",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0110455912872545","0","keeping pixels after deforestation event",1
"109","109",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0117128733878231","0","keeping pixels after deforestation event",1
"110","110",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00581847791112179","1","keeping pixels after deforestation event",1
"111","111",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0110447482271148","0","keeping pixels after deforestation event",1
"112","112",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0100572437834852","0","keeping pixels after deforestation event",1
"113","113",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00358422803090648","1","keeping pixels after deforestation event",1
"114","114",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0100698896855807","0","keeping pixels after deforestation event",1
"115","115",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00864216733900709","0","keeping pixels after deforestation event",1
"116","116",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00616736429893218","0","keeping pixels after deforestation event",1
"117","117",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00857514405790134","0","keeping pixels after deforestation event",1
"118","118",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00699257966567042","0","keeping pixels after deforestation event",1
"119","119",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00317098805243267","1","keeping pixels after deforestation event",1
"120","120",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00406491282055605","1","keeping pixels after deforestation event",1
"121","121",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00509330568096068","1","keeping pixels after deforestation event",1
"122","122",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0045677981938841","1","keeping pixels after deforestation event",1
"123","123",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0058645651987584","1","keeping pixels after deforestation event",1
"124","124",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","0.000608872083890145","1","keeping pixels after deforestation event",1
"125","125",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00818494772324586","0","keeping pixels after deforestation event",1
